Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Sacred Heart,1065.0,28.0,285.0,39.153000000000006,69.0,256.0,76.0,69.0,-4.0,2.0,3.0,2.285,52.0,138.0,154.0,366.0,5.0,6.0,8.0,5.0,1750.0,1.183
Saint Francis (PA),634.0,44.0,225.0,41.74,63.0,160.0,88.0,36.0,10.0,1.0,3.0,2.27,66.0,90.0,142.0,342.0,6.0,7.0,0.0,8.0,1370.0,0.788
Saint Joseph's,956.0,40.0,255.0,37.699,64.0,222.0,76.0,84.0,-9.0,1.0,2.0,1.879,58.0,116.0,116.0,282.0,1.0,4.0,11.0,2.0,1530.0,1.647
Saint Louis,285.0,70.0,255.0,48.711999999999996,113.0,196.0,116.0,51.0,12.0,2.0,4.0,2.335,93.0,114.0,184.0,412.0,7.0,8.0,4.0,5.0,1550.0,0.987
Saint Mary's (CA),283.0,62.0,255.0,47.644,100.0,194.0,108.0,87.0,-2.0,0.0,1.0,1.62,85.0,110.0,190.0,436.0,5.0,8.0,7.0,2.0,1530.0,1.706
Saint Peter's,613.0,28.0,240.0,39.052,63.0,162.0,72.0,96.0,-14.0,1.0,1.0,2.5300000000000002,50.0,202.0,142.0,290.0,1.0,2.0,9.0,5.0,1440.0,2.0
San Diego,676.0,84.0,285.0,45.371,82.0,217.0,124.0,54.0,13.0,1.0,2.0,2.319,104.0,108.0,180.0,468.0,8.0,11.0,4.0,4.0,1730.0,0.936
San Diego St.,509.0,74.0,270.0,48.174,85.0,259.0,120.0,60.0,10.0,1.0,2.0,2.121,97.0,120.0,166.0,416.0,8.0,6.0,7.0,5.0,1620.0,1.111
San Francisco,547.0,28.0,255.0,47.523,94.0,221.0,80.0,48.0,4.0,2.0,2.0,2.75,54.0,94.0,196.0,508.0,6.0,8.0,4.0,5.0,1530.0,0.941
San Jose St.,680.0,54.0,270.0,38.717,55.0,208.0,88.0,75.0,-3.0,2.0,3.0,2.269,71.0,138.0,144.0,340.0,3.0,6.0,8.0,4.0,1620.0,1.389
Santa Clara,735.0,50.0,255.0,45.065,75.0,249.0,92.0,72.0,-1.0,2.0,2.0,2.626,71.0,136.0,140.0,362.0,4.0,7.0,7.0,3.0,1530.0,1.412
Seattle U,719.0,68.0,285.0,51.223,97.0,265.0,172.0,69.0,20.0,1.0,1.0,2.81,120.0,106.0,204.0,508.0,5.0,12.0,4.0,3.0,1759.0,1.176
Seton Hall,605.0,64.0,255.0,41.403999999999996,78.0,192.0,104.0,66.0,4.0,5.0,5.0,2.715,84.0,122.0,134.0,318.0,5.0,8.0,6.0,3.0,1530.0,1.294
Siena,642.0,44.0,255.0,37.405,64.0,155.0,80.0,66.0,-2.0,1.0,1.0,2.599,62.0,128.0,136.0,354.0,4.0,8.0,9.0,0.0,1530.0,1.294
South Carolina,445.0,38.0,270.0,42.462,103.0,208.0,80.0,84.0,-8.0,0.0,1.0,1.573,59.0,146.0,168.0,388.0,4.0,6.0,9.0,3.0,1620.0,1.556
South Fla.,558.0,40.0,240.0,41.815,86.0,168.0,84.0,78.0,-5.0,2.0,3.0,2.258,62.0,104.0,176.0,340.0,2.0,6.0,9.0,1.0,1440.0,1.625
St. Bonaventure,169.0,56.0,255.0,42.523,66.0,148.0,96.0,75.0,-1.0,1.0,1.0,2.658,76.0,184.0,162.0,404.0,6.0,6.0,7.0,4.0,1530.0,1.471
St. John's (NY),504.0,92.0,255.0,50.995,93.0,213.0,124.0,60.0,11.0,2.0,3.0,2.3689999999999998,108.0,104.0,170.0,470.0,4.0,8.0,4.0,5.0,1550.0,1.161
Stanford,447.0,94.0,255.0,56.583,105.0,261.0,148.0,48.0,21.0,1.0,2.0,2.254,121.0,68.0,200.0,502.0,6.0,9.0,3.0,5.0,1530.0,0.941
